Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		E2		Off		E3		Off		Off		Off		
(ms)		(V)		(A)		(V)		()		(V)		()		()		()		
20.508		43.0		-0.006		151.9				-201.7								
20.605		49.1		0.002		149.2				-201.3								
20.703		59.2		-0.004		143.1				-207.8								
20.801		64.0		-0.017		137.9				-206.0								
20.898		69.7		-0.002		136.1				-207.3								
20.996		77.2		-0.002		131.7				-211.2								
21.094		82.9		-0.006		126.0				-212.1								
21.191		87.7		-0.011		121.7				-211.7								
21.289		94.7		-0.008		117.3				-212.5								
21.387		101.3		-0.006		109.4				-213.4								
21.484		102.6		-0.004		106.8				-209.9								
21.582		105.7		-0.006		103.7				-211.7								
21.680		112.7		-0.015		109.4				-210.4								
21.777		115.4		-0.008		115.1				-212.5								
21.875		121.5		-0.011		120.8				-212.5								
21.973		125.9		0.000		125.2				-211.7								
22.070		132.0		-0.004		128.7				-216.0								
22.168		133.3		-0.002		135.7				-213.8								
22.266		139.0		-0.015		138.7				-212.1								
22.363		144.3		0.006		140.9				-210.8								
22.461		147.8		0.002		147.9				-211.7								
22.559		151.3		-0.006		150.5				-209.5								
22.656		156.1		-0.004		157.1				-209.9								
22.754		160.1		0.006		161.9				-199.6								
22.852		164.5		-0.006		162.8				-201.7								
22.949		168.9		0.002		168.5				-193.5								
23.047		172.4		-0.013		172.0				-192.2								
23.145		174.6		0.008		177.7				-189.2								
23.242		176.8		-0.013		178.1				-181.0								
23.340		183.8		-0.011		181.6				-178.8								
23.438		185.1		0.013		187.3				-173.2								
23.535		192.1		-0.019		186.9				-168.9								
23.633		190.8		-0.006		189.5				-165.4								
23.730		192.5		-0.011		192.6				-161.6								
23.828		196.1		-0.006		195.6				-158.1								
23.926		199.1		-0.008		197.8				-149.5								
24.023		203.1		-0.008		198.2				-146.9								
24.121		202.2		-0.011		201.8				-141.7								
24.219		203.1		-0.006		203.9				-136.9								
24.316		206.6		-0.008		203.5				-130.9								
24.414		205.7		-0.017		204.4				-128.3								
24.512		207.5		-0.008		205.7				-125.7								
24.609		207.9		-0.011		205.3				-116.2								
24.707		207.5		0.002		208.8				-115.8								
24.805		207.0		-0.008		208.3				-110.2								
24.902		207.5		-0.008		208.8				-107.6								
25.000		207.0		-0.006		207.9				-111.0								
25.098		207.5		-0.015		205.3				-116.2								
25.195		206.6		-0.011		206.6				-119.2								
25.293		209.2		-0.004		207.9				-124.4								
25.391		208.8		-0.008		207.4				-128.7								
25.488		208.8		0.000		206.1				-132.6								
25.586		210.1		-0.004		208.8				-136.5								
25.684		206.1		-0.006		208.3				-142.5								
25.781		206.1		-0.002		206.1				-147.3								
25.879		207.5		-0.006		204.8				-152.9								
25.977		206.1		-0.006		201.3				-155.9								
26.074		203.1		-0.008		200.4				-159.8								
26.172		199.1		-0.004		198.7				-162.4								
26.270		193.9		0.008		196.9				-167.6								
26.367		189.5		0.000		188.2				-171.5								
26.465		184.6		-0.011		184.7				-178.0								
26.563		179.4		-0.013		178.1				-181.9								
26.660		176.3		0.000		173.7				-184.4								
26.758		170.2		0.006		170.2				-184.9								
26.855		167.5		-0.002		168.5				-189.6								
26.953		162.7		-0.006		161.5				-192.7								
27.051		159.2		0.002		157.5				-192.2								
27.148		151.3		0.002		156.2				-198.7								
27.246		150.9		0.011		150.5				-201.3								
27.344		147.4		-0.015		146.2				-198.3								
27.441		139.9		-0.013		139.6				-202.6								
27.539		137.3		-0.011		137.9				-206.0								
27.637		131.6		-0.017		131.3				-203.9								
27.734		128.9		0.000		128.7				-206.9								
27.832		121.5		-0.004		123.0				-206.9								
27.930		118.0		-0.008		118.2				-207.3								
28.027		115.8		0.004		113.8				-206.5								
28.125		109.2		-0.021		107.2				-206.0								
28.223		105.7		0.002		107.7				-209.1								
28.320		103.1		-0.004		110.7				-208.2								
28.418		95.6		-0.002		119.0				-209.9								
28.516		89.0		-0.004		122.1				-211.2								
28.613		85.1		-0.006		124.7				-207.8								
28.711		78.5		-0.002		132.6				-209.9								
