Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		E2		I2		E3		I3		E4		I4		
(ms)		(V)		(A)		(V)		(A)		(V)		(A)		(V)		(A)		
10.742		-59.8		-0.004		202.3		0.298		-147.2		0.004		203.5		0.295		
10.840		-68.6		-0.002		204.9		0.310		-141.9		0.002		205.7		0.306		
10.938		-74.8		0.004		208.9		0.306		-137.6		-0.002		206.1		0.303		
11.035		-82.7		0.000		209.3		0.306		-130.6		-0.008		206.1		0.310		
11.133		-88.0		0.000		212.4		0.310		-128.8		0.006		212.2		0.314		
11.230		-90.2		0.000		207.6		0.310		-124.9		-0.002		208.7		0.316		
11.328		-98.1		-0.021		210.2		0.315		-120.0		0.002		210.9		0.316		
11.426		-102.5		-0.011		212.4		0.308		-113.9		-0.002		209.6		0.310		
11.523		-108.7		0.000		211.1		0.319		-106.9		-0.006		211.3		0.314		
11.621		-111.3		0.002		211.1		0.331		-103.8		-0.004		213.9		0.318		
11.719		-115.7		0.002		213.7		0.315		-97.7		-0.017		210.0		0.318		
11.816		-120.6		-0.004		213.7		0.302		-94.2		-0.006		214.8		0.306		
11.914		-125.9		-0.011		212.8		0.317		-88.5		0.000		210.9		0.318		
12.012		-128.9		-0.013		211.1		0.308		-86.3		-0.011		215.7		0.310		
12.109		-135.1		-0.004		214.1		0.312		-79.3		-0.006		212.6		0.310		
12.207		-134.7		0.000		212.4		0.315		-77.5		-0.006		213.0		0.314		
12.305		-142.1		-0.004		211.1		0.321		-72.3		-0.011		211.7		0.318		
12.402		-144.3		-0.002		210.2		0.306		-65.7		-0.017		211.7		0.303		
12.500		-150.1		-0.019		208.4		0.317		-55.6		-0.008		208.7		0.318		
12.598		-150.9		0.008		208.4		0.321		-49.9		-0.002		207.4		0.310		
12.695		-156.7		0.002		204.5		0.300		-41.2		-0.004		207.0		0.306		
12.793		-159.7		-0.006		202.7		0.304		-34.6		-0.006		202.2		0.297		
12.891		-164.1		-0.004		198.8		0.283		-27.2		-0.002		196.5		0.286		
