Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		E2		I2		E3		I3		E4		I4		
(ms)		(V)		(A)		(V)		(A)		(V)		(A)		(V)		(A)		
11.914		-127.6		-0.242		211.9		0.253		-87.2		-0.002		341.3		0.248		
12.012		-130.7		-0.278		211.5		0.251		-84.6		-0.004		347.8		0.259		
12.109		-134.7		-0.255		212.8		0.264		-78.4		0.013		348.7		0.246		
12.207		-136.0		-0.264		211.9		0.260		-75.8		-0.004		350.0		0.261		
12.305		-137.7		-0.266		208.0		0.249		-68.3		-0.006		353.5		0.254		
12.402		-145.7		-0.266		213.2		0.255		-58.7		-0.019		355.7		0.269		
12.500		-147.9		-0.268		207.1		0.274		-49.9		-0.011		359.1		0.256		
12.598		-151.4		-0.276		207.6		0.270		-47.8		0.002		364.8		0.267		
12.695		-154.9		-0.280		206.7		0.264		-39.0		0.002		361.7		0.265		
12.793		-161.5		-0.276		201.0		0.268		-32.0		0.002		362.6		0.269		
12.891		-165.0		-0.278		198.4		0.270		-29.8		0.000		362.2		0.263		
12.988		-171.6		-0.272		187.8		0.253		-21.9		0.002		360.9		0.259		
13.086		-176.0		-0.270		183.9		0.268		-13.1		-0.006		360.4		0.263		
13.184		-176.5		-0.266		182.6		0.262		-10.1		-0.002		359.1		0.265		
13.281		-183.1		-0.266		174.7		0.258		0.4		0.000		355.2		0.265		
13.379		-184.8		-0.264		170.8		0.251		8.8		0.008		358.3		0.259		
13.477		-188.3		-0.268		166.8		0.277		20.2		-0.008		355.7		0.256		
13.574		-193.6		-0.255		162.0		0.251		27.6		-0.013		357.0		0.244		
13.672		-193.2		-0.274		160.3		0.262		32.9		-0.006		355.7		0.267		
13.770		-196.7		-0.264		153.7		0.260		42.5		-0.006		353.5		0.261		
13.867		-199.8		-0.264		150.2		0.262		48.2		0.000		351.3		0.248		
13.965		-202.0		-0.259		147.6		0.266		52.6		-0.002		347.8		0.259		
14.063		-202.9		-0.255		139.7		0.247		63.5		0.002		345.7		0.250		
14.160		-206.8		-0.266		135.3		0.249		69.2		-0.004		340.4		0.241		
14.258		-208.1		-0.249		131.4		0.239		74.5		0.013		343.5		0.248		
14.355		-207.3		-0.245		128.3		0.247		82.8		0.000		336.1		0.231		
14.453		-211.2		-0.251		122.6		0.262		87.2		-0.002		337.4		0.244		
14.551		-214.3		-0.247		118.7		0.239		93.8		0.006		329.6		0.239		
14.648		-210.3		-0.238		115.6		0.251		99.9		0.000		323.5		0.246		
14.746		-210.8		-0.253		109.0		0.226		105.6		-0.004		322.6		0.237		
14.844		-213.4		-0.230		105.5		0.224		106.5		0.023		320.4		0.237		
14.941		-213.4		-0.224		104.2		0.013		109.5		0.241		318.7		0.224		
15.039		-212.5		-0.236		97.2		0.006		116.1		0.247		327.4		0.239		
15.137		-213.0		-0.245		87.1		-0.011		122.7		0.249		329.1		0.246		
15.234		-212.5		-0.255		87.6		0.015		127.9		0.241		339.6		0.252		
15.332		-213.4		-0.255		83.2		0.008		129.7		0.241		341.3		0.252		
15.430		-212.5		-0.264		77.5		-0.006		131.9		0.243		347.0		0.263		
15.527		-210.3		-0.259		70.5		0.000		132.7		0.258		347.4		0.248		
15.625		-211.7		-0.266		66.6		0.015		140.2		0.249		354.3		0.256		
15.723		-214.3		-0.274		57.4		0.000		145.5		0.264		357.0		0.261		
15.820		-209.5		-0.268		51.2		0.006		148.5		0.264		360.4		0.267		
15.918		-211.2		-0.274		41.6		-0.002		156.0		0.264		362.6		0.265		
16.016		-206.8		-0.270		35.5		-0.006		156.8		0.253		364.8		0.265		
16.113		-201.5		-0.274		32.4		-0.017		159.9		0.272		363.5		0.271		
16.211		-197.1		-0.280		22.3		-0.002		166.0		0.260		363.0		0.271		
16.309		-194.5		-0.276		19.3		-0.002		171.7		0.251		360.0		0.267		
16.406		-187.5		-0.274		13.1		0.011		177.4		0.260		363.5		0.267		
16.504		-183.5		-0.266		1.8		0.006		178.3		0.268		360.9		0.263		
16.602		-178.2		-0.261		-4.8		-0.008		179.2		0.266		360.0		0.254		
16.699		-173.4		-0.276		-15.3		-0.002		185.3		0.268		362.6		0.271		
16.797		-168.1		-0.255		-22.3		-0.008		186.2		0.268		356.5		0.261		
16.895		-166.8		-0.266		-28.0		-0.002		193.2		0.270		356.5		0.265		
16.992		-161.1		-0.266		-36.8		-0.004		195.8		0.262		357.8		0.265		
17.090		-158.0		-0.257		-43.8		0.008		198.9		0.258		351.3		0.246		
17.188		-154.0		-0.259		-51.2		-0.006		200.2		0.264		353.0		0.265		
17.285		-150.1		-0.261		-56.9		0.002		201.1		0.260		350.9		0.263		
17.383		-142.1		-0.249		-62.2		-0.008		205.5		0.251		347.4		0.250		
17.480		-136.4		-0.253		-70.5		-0.006		203.3		0.243		347.4		0.259		
17.578		-136.4		-0.255		-75.8		-0.013		208.5		0.256		341.3		0.239		
17.676		-131.6		-0.247		-84.1		-0.004		208.1		0.245		339.6		0.250		
17.773		-125.0		-0.242		-90.2		0.000		212.9		0.234		332.6		0.239		
17.871		-120.6		-0.253		-95.5		0.000		207.2		0.243		331.7		0.259		
17.969		-118.8		-0.247		-101.1		-0.006		211.2		0.228		327.0		0.229		
18.066		-114.9		-0.238		-106.4		0.008		212.9		0.230		323.9		0.239		
18.164		-108.7		-0.249		-112.5		0.000		213.8		0.243		317.8		0.235		
18.262		-112.2		-0.076		-109.0		-0.177		212.9		0.243		321.3		0.233		
18.359		-100.3		-0.004		-115.6		-0.241		214.7		0.230		332.2		0.241		
18.457		-95.0		0.002		-124.4		-0.236		212.9		0.243		337.0		0.250		
18.555		-93.3		-0.004		-126.5		-0.251		212.0		0.241		338.7		0.250		
18.652		-88.0		-0.002		-132.7		-0.245		214.7		0.253		343.9		0.244		
18.750		-77.4		0.004		-136.2		-0.258		213.4		0.245		347.8		0.256		
18.848		-76.1		-0.017		-137.1		-0.253		213.4		0.256		347.0		0.248		
18.945		-70.8		-0.013		-139.2		-0.264		212.0		0.247		352.2		0.248		
19.043		-64.7		0.000		-141.9		-0.262		211.2		0.262		357.0		0.256		
19.141		-56.8		0.000		-148.9		-0.268		206.8		0.264		357.4		0.241		
19.238		-49.7		0.002		-152.4		-0.262		210.3		0.260		364.3		0.263		
19.336		-43.6		-0.008		-156.3		-0.279		211.6		0.264		363.9		0.274		
19.434		-35.6		-0.004		-164.2		-0.268		205.0		0.277		366.5		0.267		
19.531		-28.6		-0.013		-167.3		-0.279		199.8		0.268		365.7		0.278		
19.629		-20.2		0.008		-168.1		-0.270		195.8		0.266		364.8		0.271		
19.727		-15.8		-0.008		-172.1		-0.274		191.0		0.256		364.8		0.259		
19.824		-7.9		-0.002		-178.7		-0.264		188.0		0.262		363.5		0.274		
19.922		1.8		0.002		-181.3		-0.264		182.7		0.258		362.2		0.267		
20.020		7.5		0.000		-187.0		-0.264		176.6		0.260		363.9		0.267		
20.117		19.8		0.006		-189.6		-0.274		172.6		0.264		360.4		0.261		
20.215		25.1		0.004		-191.8		-0.266		166.0		0.262		357.4		0.256		
20.313		30.4		-0.013		-196.6		-0.268		162.1		0.266		357.8		0.254		
20.410		38.7		-0.008		-198.4		-0.272		157.3		0.260		355.7		0.265		
20.508		47.5		-0.013		-201.4		-0.249		152.9		0.249		354.8		0.265		
20.605		51.9		-0.002		-202.7		-0.255		150.7		0.264		354.3		0.259		
20.703		60.7		-0.002		-206.7		-0.264		142.4		0.272		348.7		0.252		
20.801		70.0		0.000		-207.6		-0.253		141.5		0.258		343.9		0.239		
20.898		76.6		-0.002		-208.9		-0.249		136.7		0.258		340.0		0.252		
20.996		80.5		-0.008		-210.6		-0.249		130.6		0.243		338.3		0.246		
21.094		86.2		-0.008		-211.9		-0.251		125.7		0.245		338.3		0.241		
21.191		95.0		0.004		-211.5		-0.245		122.7		0.243		333.5		0.241		
21.289		98.1		-0.006		-211.9		-0.234		117.4		0.234		329.6		0.237		
21.387		104.3		0.004		-212.4		-0.243		111.3		0.234		327.4		0.231		
21.484		107.8		0.004		-212.4		-0.247		106.5		0.232		320.9		0.237		
21.582		110.5		0.162		-214.1		-0.230		111.7		0.057		318.7		0.244		
21.680		114.9		0.242		-214.1		-0.243		100.8		0.006		332.2		0.248		
21.777		120.1		0.257		-215.0		-0.232		94.6		0.000		333.5		0.250		
21.875		125.0		0.249		-213.7		-0.251		89.8		-0.004		337.4		0.252		
21.973		131.1		0.257		-219.4		-0.255		86.3		0.000		338.7		0.252		
22.070		132.5		0.249		-215.4		-0.255		80.2		0.002		345.2		0.256		
22.168		138.2		0.249		-215.0		-0.266		74.5		-0.006		350.4		0.261		
22.266		139.1		0.257		-212.4		-0.258		69.2		0.011		351.3		0.246		
22.363		143.5		0.266		-214.6		-0.260		63.1		0.002		357.8		0.256		
22.461		147.0		0.255		-212.8		-0.258		54.8		-0.004		361.3		0.269		
22.559		151.8		0.270		-209.7		-0.277		45.6		-0.002		363.0		0.256		
22.656		156.7		0.249		-204.9		-0.279		41.6		0.000		362.2		0.265		
22.754		161.5		0.266		-204.1		-0.287		32.0		0.011		364.3		0.254		
22.852		163.7		0.253		-196.6		-0.272		28.0		0.013		365.2		0.261		
22.949		169.4		0.264		-196.6		-0.260		21.5		0.000		363.0		0.259		
23.047		174.3		0.261		-190.0		-0.274		17.1		-0.002		362.2		0.269		
23.145		180.0		0.257		-181.7		-0.272		5.7		-0.004		362.2		0.271		
23.242		180.0		0.259		-179.1		-0.255		-1.3		0.006		358.3		0.246		
23.340		182.2		0.257		-175.2		-0.260		-10.1		-0.006		356.5		0.241		
23.438		188.8		0.261		-170.8		-0.262		-18.8		-0.006		356.1		0.256		
23.535		192.7		0.264		-166.4		-0.255		-23.7		-0.002		357.4		0.282		
23.633		193.6		0.259		-164.6		-0.272		-34.2		0.006		357.8		0.252		
23.730		198.9		0.259		-160.3		-0.264		-43.8		-0.004		354.3		0.256		
23.828		195.8		0.268		-156.8		-0.255		-47.8		0.002		351.3		0.244		
23.926		200.2		0.257		-147.1		-0.266		-53.0		-0.017		347.8		0.267		
24.023		203.7		0.259		-141.9		-0.264		-64.0		0.008		346.5		0.250		
24.121		206.4		0.257		-138.4		-0.260		-64.8		-0.013		342.6		0.256		
24.219		207.7		0.245		-137.1		-0.260		-75.8		-0.006		340.9		0.246		
24.316		206.4		0.251		-130.0		-0.249		-81.9		-0.004		340.4		0.246		
24.414		212.5		0.247		-128.3		-0.255		-86.3		-0.008		335.7		0.233		
24.512		214.3		0.245		-121.7		-0.245		-93.8		-0.006		333.0		0.237		
24.609		210.3		0.245		-117.8		-0.241		-99.5		-0.002		329.6		0.237		
24.707		212.5		0.232		-112.5		-0.255		-102.5		-0.008		323.0		0.233		
24.805		211.2		0.240		-110.3		-0.239		-108.2		-0.011		319.1		0.235		
24.902		214.7		0.230		-106.0		-0.127		-109.1		-0.125		320.0		0.229		
25.000		213.9		0.226		-99.8		-0.002		-115.2		-0.247		327.0		0.239		
25.098		211.2		0.238		-95.5		0.004		-119.6		-0.247		333.0		0.239		
25.195		213.4		0.238		-89.3		0.000		-124.0		-0.251		336.1		0.248		
25.293		212.1		0.251		-87.1		-0.011		-130.1		-0.253		338.7		0.235		
25.391		214.3		0.251		-79.3		-0.013		-133.6		-0.249		342.2		0.256		
25.488		213.0		0.259		-77.9		0.000		-136.7		-0.262		346.5		0.263		
25.586		213.0		0.247		-68.3		-0.011		-138.9		-0.260		346.1		0.252		
25.684		211.7		0.251		-60.9		-0.002		-143.7		-0.260		350.4		0.267		
25.781		212.5		0.255		-56.5		-0.015		-146.3		-0.262		357.0		0.261		
25.879		211.2		0.261		-45.5		0.004		-151.6		-0.275		361.3		0.254		
25.977		208.1		0.261		-41.2		-0.002		-155.5		-0.268		357.8		0.263		
26.074		201.5		0.264		-31.5		-0.019		-161.7		-0.275		365.2		0.265		
26.172		198.5		0.268		-27.6		-0.011		-165.6		-0.262		362.6		0.269		
26.270		196.3		0.266		-23.2		0.008		-170.0		-0.268		360.9		0.278		
26.367		190.5		0.274		-16.2		0.008		-173.9		-0.283		362.2		0.267		
26.465		184.4		0.268		-7.4		-0.002		-180.1		-0.270		361.3		0.252		
26.563		180.0		0.261		2.2		0.008		-182.7		-0.264		361.3		0.263		
26.660		177.8		0.261		7.4		0.002		-185.8		-0.258		357.0		0.256		
26.758		171.6		0.259		17.5		-0.002		-189.7		-0.264		361.3		0.265		
26.855		169.4		0.257		22.3		-0.002		-194.1		-0.268		360.0		0.261		
26.953		164.1		0.268		30.2		-0.004		-192.8		-0.262		358.3		0.256		
27.051		159.7		0.266		39.8		0.002		-195.8		-0.266		353.5		0.250		
27.148		154.5		0.255		47.7		0.002		-198.5		-0.270		355.2		0.248		
27.246		151.8		0.251		53.4		0.002		-200.2		-0.266		350.9		0.267		
27.344		146.5		0.257		59.6		0.006		-208.1		-0.270		347.0		0.254		
27.441		139.1		0.253		66.6		0.008		-206.4		-0.256		347.0		0.252		
27.539		136.4		0.242		74.0		0.006		-206.8		-0.260		342.2		0.252		
27.637		133.8		0.253		78.4		-0.015		-209.4		-0.247		341.7		0.256		
27.734		127.6		0.245		85.8		-0.013		-210.3		-0.256		337.4		0.250		
27.832		123.7		0.242		91.1		0.006		-211.2		-0.249		333.5		0.250		
27.930		115.3		0.240		98.1		-0.011		-212.9		-0.249		328.3		0.233		
28.027		114.0		0.251		102.9		0.004		-211.2		-0.258		326.1		0.233		
28.125		110.0		0.232		107.3		0.002		-211.6		-0.228		323.0		0.231		
28.223		106.9		0.143		109.9		0.091		-213.4		-0.232		318.7		0.233		
28.320		102.1		0.006		113.8		0.236		-212.5		-0.249		328.3		0.244		
28.418		96.8		0.000		118.2		0.247		-214.7		-0.241		330.9		0.241		
28.516		92.4		-0.002		125.2		0.260		-212.5		-0.243		339.1		0.244		
28.613		83.6		0.000		126.1		0.260		-215.6		-0.258		340.9		0.252		
28.711		84.0		-0.002		134.0		0.247		-214.2		-0.260		343.9		0.254		
28.809		77.4		0.002		137.9		0.264		-215.1		-0.264		347.8		0.250		
28.906		73.0		0.002		137.5		0.253		-212.5		-0.258		350.0		0.263		
29.004		64.7		0.006		142.3		0.264		-213.4		-0.264		352.6		0.254		
29.102		58.1		0.002		145.4		0.270		-213.4		-0.270		357.8		0.254		
29.199		51.0		0.000		149.8		0.270		-213.4		-0.268		362.6		0.271		
29.297		43.6		0.004		154.1		0.266		-209.0		-0.275		363.9		0.259		
29.395		36.1		-0.011		156.8		0.266		-205.0		-0.272		368.7		0.261		
29.492		31.2		0.002		162.5		0.258		-204.2		-0.268		366.1		0.263		
29.590		22.0		-0.008		164.6		0.270		-198.5		-0.266		364.3		0.269		
29.688		16.3		-0.002		169.0		0.268		-192.8		-0.275		364.8		0.269		
29.785		8.8		0.000		176.0		0.272		-187.5		-0.272		360.9		0.280		
29.883		4.0		-0.004		178.7		0.258		-182.7		-0.268		360.4		0.267		
29.980		-4.4		-0.011		182.6		0.255		-176.6		-0.264		363.5		0.265		
30.078		-13.6		-0.004		184.8		0.268		-172.6		-0.266		360.0		0.256		
30.176		-23.8		-0.004		190.9		0.260		-169.6		-0.266		359.1		0.256		
30.273		-29.5		-0.021		193.1		0.277		-163.0		-0.268		358.3		0.250		
30.371		-38.7		0.002		194.9		0.260		-159.5		-0.264		357.0		0.261		
30.469		-45.3		-0.006		198.8		0.268		-156.8		-0.264		354.3		0.254		
30.566		-51.5		0.004		202.7		0.255		-152.0		-0.272		350.9		0.269		
30.664		-58.1		0.000		205.4		0.253		-145.0		-0.264		351.3		0.246		
30.762		-65.1		0.000		204.9		0.253		-141.5		-0.260		344.8		0.259		
30.859		-71.7		-0.002		209.3		0.243		-136.3		-0.260		344.3		0.248		
30.957		-79.6		-0.011		208.9		0.245		-132.3		-0.258		338.7		0.248		
31.055		-86.7		-0.008		210.6		0.245		-128.8		-0.251		340.4		0.256		
31.152		-92.0		-0.004		208.4		0.247		-121.8		-0.253		334.3		0.239		
31.250		-96.4		-0.008		209.7		0.243		-119.2		-0.243		329.1		0.246		
31.348		-104.3		-0.013		209.7		0.245		-113.9		-0.243		324.3		0.235		
31.445		-106.9		0.000		215.4		0.228		-106.9		-0.241		320.4		0.231		
31.543		-108.3		-0.084		212.8		0.230		-110.8		-0.131		318.3		0.239		
31.641		-112.7		-0.238		211.9		0.245		-102.1		-0.011		328.3		0.237		
31.738		-121.5		-0.245		215.4		0.243		-100.3		0.002		331.3		0.244		
31.836		-125.0		-0.240		213.7		0.234		-94.2		-0.008		336.1		0.248		
31.934		-127.6		-0.251		213.2		0.241		-87.6		-0.011		340.4		0.248		
32.031		-134.7		-0.255		212.4		0.255		-84.6		-0.004		345.2		0.239		
32.129		-135.1		-0.266		210.2		0.266		-80.6		-0.006		347.8		0.256		
32.227		-137.7		-0.259		212.4		0.260		-75.8		-0.011		356.5		0.254		
32.324		-143.5		-0.259		211.5		0.262		-68.3		-0.006		353.0		0.269		
32.422		-146.5		-0.272		210.2		0.258		-57.0		0.004		356.5		0.269		
32.520		-150.5		-0.268		209.3		0.258		-54.3		-0.006		360.9		0.261		
32.617		-154.0		-0.268		206.2		0.266		-47.3		-0.019		362.2		0.263		
32.715		-161.5		-0.268		202.7		0.268		-41.6		0.002		363.9		0.271		
32.813		-161.1		-0.274		194.9		0.274		-30.7		-0.011		362.2		0.271		
32.910		-167.7		-0.276		194.0		0.264		-24.1		0.004		363.0		0.259		
