Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		E2		I2		E3		I3		E4		I4		
(ms)		(V)		(A)		(V)		(A)		(V)		(A)		(V)		(A)		
14.355		-209.9		-0.006		127.0		0.192		83.7		0.004		130.0		0.186		
14.453		-212.1		-0.004		123.9		0.190		86.3		0.002		124.3		0.186		
14.551		-210.8		-0.008		117.4		0.186		94.2		0.004		116.5		0.188		
14.648		-211.2		0.000		117.8		0.173		99.0		-0.002		116.1		0.169		
14.746		-213.0		-0.008		110.3		0.160		104.7		0.004		110.9		0.162		
14.844		-213.9		-0.004		108.6		0.114		109.5		0.053		107.8		0.152		
14.941		-213.0		-0.004		103.3		-0.006		111.7		0.167		111.3		0.160		
15.039		-213.0		-0.002		94.1		-0.015		117.0		0.182		118.3		0.179		
15.137		-212.5		0.004		91.1		0.002		123.5		0.182		122.2		0.177		
15.234		-215.2		-0.004		84.1		0.008		127.5		0.190		130.4		0.182		
15.332		-215.6		-0.004		79.7		0.006		129.2		0.190		131.3		0.197		
15.430		-213.4		-0.008		74.0		-0.008		134.5		0.194		136.1		0.201		
15.527		-214.7		-0.002		70.9		0.000		136.3		0.205		141.7		0.205		
15.625		-215.6		-0.008		61.7		0.017		141.5		0.209		142.6		0.203		
15.723		-214.7		0.000		55.6		0.015		146.3		0.215		147.8		0.216		
15.820		-212.5		-0.015		48.2		-0.002		151.6		0.224		151.3		0.216		
15.918		-209.9		0.008		40.7		0.002		156.0		0.234		153.9		0.222		
16.016		-206.8		-0.004		35.9		0.002		160.8		0.222		157.4		0.237		
16.113		-201.5		-0.011		26.3		0.008		164.7		0.243		164.8		0.248		
16.211		-198.5		0.000		21.5		-0.002		166.9		0.253		168.3		0.237		
16.309		-194.5		-0.006		17.5		0.004		174.4		0.253		173.0		0.256		
16.406		-189.7		0.006		7.9		0.002		174.8		0.256		177.0		0.259		
16.504		-183.9		-0.004		3.1		0.004		181.4		0.268		180.9		0.267		
16.602		-178.7		-0.013		-9.6		-0.011		183.1		0.266		183.9		0.278		
16.699		-175.6		0.000		-15.8		0.000		188.4		0.287		187.4		0.278		
16.797		-172.5		-0.002		-22.8		-0.008		191.9		0.277		192.2		0.280		
16.895		-163.3		-0.004		-29.8		-0.002		195.0		0.283		190.9		0.286		
16.992		-161.1		-0.013		-38.5		-0.011		198.5		0.287		197.8		0.293		
17.090		-158.4		-0.008		-46.0		-0.002		202.0		0.291		200.4		0.295		
17.188		-154.0		0.000		-50.4		0.000		203.3		0.306		201.3		0.308		
17.285		-147.9		0.004		-58.2		0.000		205.5		0.304		202.2		0.310		
17.383		-143.0		-0.004		-67.4		-0.015		206.4		0.298		201.7		0.299		
17.480		-140.8		-0.008		-72.7		-0.011		209.9		0.304		210.9		0.321		
17.578		-134.7		-0.008		-77.9		-0.004		209.9		0.308		207.4		0.310		
17.676		-132.0		-0.002		-84.9		-0.019		209.0		0.308		211.7		0.308		
17.773		-125.4		0.000		-90.2		0.000		212.0		0.300		212.2		0.310		
