Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		E2		Off		E3		Off		Off		Off		
(ms)		(V)		(A)		(V)		()		(V)		()		()		()		
17.188		-153.5		0.008		207.4				-206.5								
17.285		-146.9		-0.006		205.7				-207.8								
17.383		-144.7		-0.008		208.3				-206.5								
17.480		-139.0		-0.021		209.6				-206.9								
17.578		-135.1		-0.017		209.6				-208.6								
17.676		-131.6		-0.006		206.6				-207.8								
17.773		-125.0		-0.023		209.2				-206.9								
17.871		-121.1		-0.008		208.3				-206.5								
17.969		-117.5		-0.006		205.3				-208.6								
18.066		-111.0		-0.011		205.7				-206.5								
18.164		-109.2		-0.006		207.9				-207.8								
18.262		-102.6		-0.008		204.4				-205.2								
18.359		-99.6		-0.011		207.9				-205.2								
18.457		-94.3		-0.013		206.1				-206.0								
18.555		-85.5		-0.011		207.4				-204.8								
18.652		-82.5		-0.019		205.3				-205.2								
18.750		-76.3		-0.006		209.2				-205.2								
18.848		-71.9		0.000		207.0				-204.8								
18.945		-66.2		-0.008		203.5				-206.5								
19.043		-60.5		-0.017		207.4				-203.5								
19.141		-53.5		-0.023		206.1				-206.0								
19.238		-46.1		-0.004		208.8				-206.5								
19.336		-36.4		-0.013		207.4				-205.6								
19.434		-31.1		-0.002		205.3				-203.9								
19.531		-25.4		-0.021		205.3				-206.5								
19.629		-20.6		-0.004		205.7				-205.6								
19.727		-13.6		-0.002		207.4				-206.0								
19.824		-7.9		-0.015		205.7				-206.0								
19.922		1.3		0.004		204.8				-203.9								
20.020		9.2		-0.004		204.8				-207.3								
20.117		16.2		-0.002		208.3				-204.8								
20.215		20.6		-0.008		206.1				-205.6								
20.313		32.5		-0.004		205.3				-204.3								
20.410		37.3		-0.019		203.9				-204.8								
20.508		46.1		-0.002		202.2				-202.6								
20.605		48.7		-0.013		205.7				-204.3								
20.703		59.2		-0.008		204.4				-203.9								
20.801		63.6		-0.019		204.4				-204.3								
20.898		72.8		0.011		205.3				-203.9								
20.996		78.9		-0.006		203.1				-202.6								
21.094		86.4		-0.011		204.4				-205.2								
21.191		86.8		0.000		205.3				-206.0								
21.289		91.2		-0.011		204.4				-207.8								
21.387		100.0		-0.011		205.7				-207.3								
21.484		104.4		0.000		204.8				-210.4								
21.582		108.3		-0.004		202.6				-211.2								
21.680		112.7		-0.006		206.1				-211.2								
21.777		118.4		-0.013		200.9				-210.8								
21.875		122.4		-0.004		203.1				-212.1								
21.973		127.6		-0.006		201.3				-216.0								
22.070		134.2		0.002		202.2				-212.5								
22.168		136.4		-0.004		203.9				-216.0								
22.266		138.2		0.000		205.7				-215.6								
22.363		143.9		0.000		203.9				-215.1								
22.461		147.8		0.000		203.9				-215.1								
22.559		150.4		-0.011		201.8				-215.1								
22.656		155.3		-0.006		203.5				-218.6								
22.754		160.5		-0.008		202.2				-215.6								
22.852		163.2		-0.008		200.4				-216.0								
22.949		168.4		0.004		203.5				-214.3								
23.047		173.7		-0.006		203.5				-214.7								
23.145		175.4		-0.021		200.9				-212.1								
23.242		179.8		-0.008		198.7				-215.1								
23.340		183.3		-0.006		202.2				-217.7								
23.438		187.3		0.002		203.9				-213.4								
23.535		190.4		-0.006		200.9				-214.7								
23.633		190.8		-0.008		201.8				-212.1								
23.730		195.2		-0.011		200.0				-215.1								
23.828		196.9		-0.004		204.4				-213.8								
23.926		199.1		0.002		202.6				-213.8								
24.023		199.6		-0.013		200.4				-213.4								
24.121		203.1		-0.015		199.6				-215.1								
24.219		202.6		-0.015		201.8				-213.0								
24.316		200.9		-0.011		200.4				-211.2								
24.414		201.8		-0.004		201.8				-211.7								
24.512		200.9		-0.006		200.4				-213.8								
24.609		200.9		-0.011		203.9				-213.0								
24.707		203.5		-0.002		202.6				-211.7								
24.805		205.3		0.000		207.0				-215.6								
24.902		207.0		-0.011		203.5				-211.7								
25.000		207.9		0.000		205.3				-212.5								
25.098		207.5		-0.006		205.7				-211.2								
25.195		206.1		0.002		206.6				-214.7								
25.293		207.9		-0.002		207.0				-212.1								
25.391		205.3		-0.002		209.6				-210.8								
25.488		205.3		-0.004		205.7				-211.2								
25.586		209.2		-0.006		207.4				-211.7								
25.684		210.1		0.002		207.4				-211.2								
25.781		210.5		0.006		209.2				-212.1								
25.879		208.8		-0.004		209.2				-211.7								
25.977		209.2		-0.002		208.8				-211.2								
26.074		203.5		-0.019		207.4				-213.0								
26.172		196.1		-0.025		208.3				-211.2								
26.270		193.9		-0.008		210.1				-211.7								
26.367		186.4		-0.008		207.4				-210.8								
26.465		179.4		-0.002		209.2				-209.9								
26.563		179.4		-0.006		206.6				-210.4								
26.660		171.5		-0.008		207.4				-213.0								
26.758		168.4		0.002		208.3				-209.5								
26.855		169.7		-0.008		207.0				-211.2								
26.953		163.2		-0.011		207.4				-208.6								
27.051		160.5		-0.008		206.6				-209.1								
27.148		154.4		-0.017		204.4				-210.4								
27.246		150.4		0.000		208.8				-212.1								
27.344		145.2		-0.002		204.4				-209.9								
27.441		137.7		-0.006		205.3				-208.2								
27.539		133.3		-0.004		204.8				-209.5								
27.637		131.6		-0.004		206.1				-209.1								
27.734		126.8		-0.008		205.7				-206.5								
27.832		120.2		0.000		208.8				-211.2								
27.930		118.4		0.002		205.7				-210.8								
28.027		112.3		-0.004		204.4				-210.4								
28.125		107.9		-0.011		206.1				-207.3								
28.223		104.4		0.004		205.7				-209.1								
28.320		98.2		-0.013		205.3				-206.9								
28.418		93.0		-0.006		204.4				-205.6								
28.516		87.3		0.006		205.7				-207.3								
28.613		83.8		-0.008		202.6				-206.0								
28.711		78.5		0.006		206.6				-209.5								
28.809		71.9		-0.017		205.3				-209.9								
28.906		68.0		-0.004		205.3				-207.3								
29.004		61.8		0.000		205.3				-210.8								
29.102		52.2		-0.004		202.2				-208.2								
29.199		46.9		-0.013		205.3				-208.6								
29.297		37.3		-0.006		203.1				-207.8								
29.395		32.9		-0.019		203.5				-209.9								
29.492		26.3		-0.002		206.1				-208.6								
29.590		21.1		-0.006		202.6				-205.2								
29.688		14.9		0.002		206.1				-208.6								
29.785		7.0		0.000		206.1				-204.8								
29.883		-0.9		-0.013		202.6				-205.2								
29.980		-9.2		-0.004		203.1				-205.2								
30.078		-14.9		0.000		207.4				-206.0								
30.176		-24.1		-0.015		203.1				-208.2								
30.273		-31.6		-0.013		202.2				-202.2								
30.371		-37.7		-0.004		200.9				-205.6								
30.469		-43.0		-0.015		203.1				-204.8								
30.566		-49.1		-0.006		200.4				-207.8								
30.664		-57.9		-0.008		200.4				-206.5								
30.762		-64.0		-0.015		202.6				-207.3								
30.859		-71.1		-0.008		203.9				-205.2								
30.957		-76.3		-0.004		202.2				-206.0								
31.055		-82.5		-0.006		203.5				-207.3								
31.152		-87.3		-0.013		204.8				-205.6								
31.250		-95.2		0.006		205.7				-206.9								
31.348		-99.6		-0.019		204.8				-204.8								
31.445		-104.8		-0.006		208.8				-206.0								
31.543		-109.6		-0.011		208.3				-205.2								
31.641		-116.2		-0.013		207.9				-201.7								
31.738		-119.3		-0.002		211.4				-204.3								
31.836		-125.0		-0.015		213.1				-203.0								
31.934		-127.6		-0.015		210.5				-206.9								
32.031		-132.9		-0.015		213.1				-203.0								
32.129		-135.1		-0.002		212.7				-206.5								
32.227		-142.1		-0.021		210.1				-202.2								
32.324		-144.3		-0.006		214.0				-204.8								
32.422		-145.6		-0.019		215.3				-203.9								
32.520		-150.9		-0.013		214.4				-201.3								
32.617		-155.7		-0.021		215.8				-202.6								
32.715		-161.0		-0.023		213.6				-203.0								
32.813		-165.4		-0.006		213.6				-203.0								
32.910		-167.5		-0.008		215.3				-205.6								
33.008		-171.5		-0.013		210.9				-202.2								
33.105		-177.6		-0.002		214.0				-203.9								
33.203		-180.3		-0.017		214.9				-205.2								
33.301		-184.2		0.008		216.6				-200.0								
33.398		-188.6		-0.004		211.4				-204.8								
33.496		-191.2		-0.011		213.1				-202.6								
33.594		-192.1		-0.017		212.3				-201.3								
33.691		-193.4		-0.002		214.4				-203.0								
33.789		-197.8		-0.002		213.6				-201.7								
33.887		-198.2		-0.008		213.1				-202.6								
33.984		-199.6		0.002		213.6				-199.6								
34.082		-199.6		0.000		212.3				-201.3								
34.180		-201.8		0.004		210.9				-203.5								
34.277		-204.8		-0.017		210.9				-201.7								
34.375		-204.8		-0.004		210.5				-201.3								
34.473		-201.3		0.000		212.7				-203.9								
34.570		-205.7		-0.002		214.0				-203.5								
34.668		-204.8		-0.017		211.4				-204.8								
34.766		-203.9		-0.008		213.6				-203.0								
34.863		-210.1		-0.013		213.6				-206.9								
34.961		-209.2		-0.008		209.6				-204.8								
35.059		-209.6		-0.015		211.4				-207.8								
35.156		-210.1		0.000		212.7				-207.8								
35.254		-209.2		-0.006		210.9				-206.5								
35.352		-208.8		-0.011		209.6				-206.9								
35.449		-209.6		-0.002		210.5				-208.6								
35.547		-212.3		-0.011		210.1				-209.9								
35.645		-208.3		-0.004		213.1				-207.3								
35.742		-211.4		-0.015		210.9				-209.1								
35.840		-212.3		0.002		210.5				-208.6								
35.938		-211.0		-0.006		211.8				-208.6								
36.035		-204.4		0.000		210.1				-210.4								
36.133		-200.0		-0.011		209.6				-211.2								
36.230		-192.1		-0.004		208.8				-209.9								
36.328		-190.4		-0.013		209.6				-209.9								
36.426		-185.5		-0.008		207.9				-210.4								
36.523		-182.9		0.004		212.3				-208.2								
36.621		-177.2		-0.002		207.9				-206.9								
36.719		-171.5		-0.013		206.1				-208.2								
36.816		-168.0		-0.008		206.1				-205.6								
36.914		-162.7		-0.006		212.3				-209.5								
37.012		-161.0		-0.019		207.4				-209.9								
37.109		-157.0		-0.006		209.2				-208.2								
37.207		-151.3		-0.013		207.4				-206.0								
37.305		-145.2		-0.008		209.2				-209.1								
37.402		-141.7		-0.008		208.8				-206.9								
37.500		-138.2		-0.002		207.0				-206.5								
37.598		-134.2		-0.011		207.0				-207.3								
37.695		-130.3		-0.002		210.9				-206.0								
37.793		-124.6		-0.011		205.3				-208.6								
37.891		-121.1		-0.008		207.0				-206.9								
37.988		-115.8		-0.015		208.3				-206.5								
38.086		-114.0		-0.021		206.6				-205.2								
38.184		-106.6		-0.006		207.4				-208.6								
38.281		-100.4		-0.015		205.7				-204.8								
38.379		-95.6		-0.011		207.9				-205.2								
38.477		-89.9		0.004		206.6				-206.0								
38.574		-88.2		-0.006		208.8				-205.2								
38.672		-79.8		-0.019		207.9				-205.6								
38.770		-74.1		-0.013		207.4				-205.2								
38.867		-71.5		-0.015		203.9				-201.7								
38.965		-63.2		-0.019		207.9				-204.8								
39.063		-57.0		-0.011		207.0				-204.8								
39.160		-53.9		-0.002		209.6				-205.6								
39.258		-44.3		-0.017		204.4				-204.3								
39.355		-38.2		-0.019		209.2				-205.6								
39.453		-31.6		-0.015		207.0				-202.2								
39.551		-21.5		-0.006		206.1				-205.2								
39.648		-18.0		-0.015		206.6				-206.0								
39.746		-9.6		-0.015		203.5				-204.3								
39.844		-5.3		0.000		206.6				-204.3								
39.941		1.8		0.004		207.9				-205.2								
40.039		10.5		-0.011		206.1				-203.5								
40.137		21.5		0.004		205.3				-203.9								
40.234		27.6		-0.011		204.8				-204.8								
40.332		33.3		-0.004		203.9				-203.0								
40.430		39.5		-0.011		204.4				-203.9								
40.527		46.9		0.000		206.1				-202.6								
40.625		55.7		0.008		203.1				-204.3								
40.723		59.2		0.011		205.7				-204.3								
40.820		66.2		0.006		205.7				-204.3								
40.918		72.4		-0.011		203.1				-202.6								
41.016		81.1		0.006		202.6				-204.8								
41.113		85.5		-0.008		203.5				-207.8								
41.211		93.4		-0.006		203.1				-206.5								
41.309		97.4		0.002		203.9				-206.0								
41.406		100.4		0.004		203.5				-206.5								
41.504		105.7		-0.021		201.8				-209.1								
41.602		110.5		-0.008		201.8				-208.2								
41.699		114.0		-0.006		203.9				-209.5								
41.797		118.0		-0.002		203.9				-213.8								
41.895		125.9		-0.017		203.1				-213.0								
41.992		128.9		0.000		205.7				-213.4								
42.090		134.2		0.004		203.1				-213.4								
42.188		135.5		-0.015		205.3				-216.8								
42.285		141.2		-0.011		202.2				-214.7								
42.383		144.3		-0.008		206.6				-215.6								
42.480		146.5		-0.011		204.4				-216.8								
42.578		155.3		-0.011		201.8				-214.3								
42.676		157.9		-0.019		205.3				-216.8								
42.773		163.6		-0.004		202.6				-214.3								
42.871		165.8		-0.006		201.3				-218.1								
42.969		170.2		-0.011		203.5				-218.1								
43.066		174.6		0.006		203.5				-216.4								
43.164		176.8		-0.011		201.3				-219.0								
43.262		182.5		-0.006		201.3				-212.5								
43.359		182.0		-0.015		200.4				-214.7								
43.457		187.3		-0.006		199.6				-215.6								
43.555		188.2		0.004		200.9				-212.5								
43.652		189.9		0.004		203.5				-217.3								
43.750		193.9		-0.015		200.9				-214.7								
43.848		197.4		-0.011		200.9				-214.7								
43.945		200.0		-0.017		196.9				-213.8								
44.043		203.9		-0.006		201.8				-213.0								
44.141		200.0		-0.006		200.4				-213.4								
44.238		200.0		-0.008		201.3				-213.0								
44.336		201.3		-0.004		198.2				-214.7								
44.434		203.5		0.002		200.0				-213.0								
44.531		200.4		-0.006		200.9				-212.1								
44.629		201.8		-0.004		203.1				-213.8								
44.727		204.8		0.002		204.4				-215.6								
44.824		202.6		-0.019		204.4				-213.0								
44.922		205.3		-0.008		205.3				-211.2								
45.020		207.5		-0.011		205.3				-210.8								
45.117		206.1		-0.002		207.9				-210.8								
45.215		207.9		0.006		206.1				-212.1								
45.313		210.5		-0.008		205.3				-215.6								
45.410		207.0		-0.008		209.2				-208.2								
45.508		211.8		-0.008		208.8				-212.5								
45.605		210.1		-0.008		206.6				-209.9								
45.703		208.8		-0.008		209.2				-211.2								
45.801		208.8		-0.008		210.9				-211.7								
45.898		208.8		-0.013		207.4				-214.7								
45.996		203.5		-0.004		206.6				-210.4								
46.094		200.0		-0.008		208.3				-208.6								
46.191		196.5		0.000		209.6				-211.7								
46.289		189.9		0.008		208.8				-209.9								
46.387		184.6		-0.002		208.8				-209.9								
46.484		182.9		-0.008		206.1				-208.6								
46.582		175.4		-0.008		205.3				-208.6								
46.680		171.1		0.000		207.4				-210.4								
46.777		164.5		-0.006		207.0				-212.5								
46.875		162.7		0.006		208.3				-208.6								
46.973		160.5		-0.006		208.3				-210.8								
47.070		155.7		-0.004		206.6				-209.9								
47.168		151.8		-0.011		203.9				-209.9								
47.266		147.8		-0.004		207.4				-209.1								
47.363		140.4		0.004		207.4				-208.6								
47.461		136.8		-0.006		204.8				-210.4								
47.559		135.1		0.000		205.7				-208.2								
47.656		128.1		-0.006		204.8				-207.8								
47.754		125.9		0.000		206.6				-210.4								
47.852		120.6		-0.011		204.8				-208.6								
47.949		114.9		-0.013		206.1				-206.0								
48.047		111.4		-0.006		207.4				-206.9								
48.145		106.6		-0.004		204.8				-208.2								
48.242		99.1		-0.004		203.9				-209.1								
48.340		95.6		-0.008		203.5				-209.9								
48.438		93.4		-0.015		203.9				-212.5								
48.535		86.8		-0.006		203.9				-209.1								
48.633		81.6		-0.011		203.1				-207.8								
48.730		75.0		-0.011		207.4				-210.8								
48.828		69.3		0.002		204.8				-208.6								
48.926		64.5		-0.011		203.1				-206.9								
49.023		57.5		0.000		208.3				-207.3								
49.121		50.9		-0.013		204.4				-207.8								
49.219		43.0		-0.008		203.5				-210.4								
49.316		38.2		-0.013		205.7				-206.9								
49.414		31.6		0.002		204.4				-208.2								
49.512		22.4		-0.004		205.3				-209.1								
49.609		14.9		-0.013		202.6				-206.9								
49.707		11.8		0.004		206.1				-208.6								
49.805		4.8		-0.015		202.6				-207.8								
49.902		-2.2		-0.002		202.6				-208.2								
